Unnamed: 0,count,hate_speech,offensive_language,neither,tweet,class,class
3053,3,0,2,1,problem remembering quirks real bitch,1,1.0
16642,3,0,3,0,sex 1st date dont mean hoe waiting 90 days wont make wife cute pics dont mean yall happy title d8230,1,1.0
19884,3,0,3,0,hate bitch,1,1.0
3750,6,0,6,0,luck bitch gonna drug wont even kno happened lmao,1,1.0
22211,3,0,0,3,brownies httptcoiyqrbn2amf,2,2.0
12327,3,0,2,1,ive never seen part pussy town lolololol end song thoo,1,1.0
19569,3,0,3,0,always waste time irrelevant bitches 128528,1,1.0
13985,3,0,3,0,one thing hate lightskin niggas confused bitch like either go fwm gon fw niggas 9995128564,1,1.0
4599,6,0,6,0,bitch going nawl,1,1.0
9972,3,1,2,0,hoes cool one better thots,1,1.0
5508,3,0,0,3,saves brownie,2,2.0
8437,3,0,3,0,bruh sasuke sakuras daughter gonna bad uchiha bitch,1,1.0
21494,3,1,2,0,hoes everybody,1,1.0
19489,3,1,2,0,lets try 2nd attempt first day workthe cold haha yeah right fucked car bitch,1,1.0
13999,3,0,3,0,hoe would favorite,1,1.0
6051,3,2,1,0,coons monkeys like disgust minstrel show negro crying shit time youre disgrace everywhere,0,0.0
4528,3,0,3,0,biebs getting fucked right pussy,1,1.0
12390,3,0,2,1,john kerry sellout httptcosfirsvdy neverforget pussy screwed troops vietnam hes rewarded disgusting,1,1.0
10971,3,0,3,0,lost respect brother cause acting like straight bitch,1,1.0
120,3,0,1,2,overdosing heavy drugs doesnt sound bad tonight pussy shit every day,2,2.0
6340,3,0,3,0,128527128527128527 yas bitch dont much fun,1,1.0
606,3,0,3,0,yall forget brand new baby girl home bitch cookies burning,1,1.0
5503,3,0,3,0,go sleep niggah lol,1,1.0
11413,3,1,2,0,would def call dwight cradle robbing faggot kobe,1,1.0
14727,3,0,3,0,8220 pick one httptcotbwonqmnjv8221 girl behind bar aint hoe,1,1.0
21979,3,0,3,0,baddest bitch back chestnut welcomehome,1,1.0
14188,3,1,2,0,pisses see little liberal faggots wearing che guevara shirts move ur ass cuba httptcoculwvpcpa7,1,1.0
16851,3,0,3,0,youre hoe dont expect princess treatment,1,1.0
15271,3,0,0,3,oreo cookie pancakes foodporn httptcoq6evcvm3so,2,2.0
20722,3,0,3,0,bitches like 9749128056 still everybodys business,1,1.0
7460,3,2,1,0,town movie friends stabbed nig 3 times got sent prison justice,0,0.0
11662,9,0,9,0,im rich bitch said dave chappell voice,1,1.0
2082,3,1,2,0,aint trippen cause like anyways got niggah got girl anyways yea anyways 1041196,1,1.0
20519,6,0,6,0,naw deez aint 24s hoe u gota add 4 mo str8up,1,1.0
24132,3,1,2,0,bitch probably mollyd 1st nigga said good mornin back,1,1.0
11398,3,0,3,0,wont nothin bitch cant even get hard,1,1.0
19291,3,0,3,0,slow rap voice bitch suck dickfaster rapping voice bitch suck dick,1,1.0
9723,3,0,2,1,god tweets ghetto,1,1.0
16371,3,0,0,3,beautiful smiles colored eyes128525,2,2.0
5378,3,0,3,0,im crazy wayne rap pussy 3 songs row,1,1.0
549,3,3,0,0,people time aryan race 2 stand say mongerls turn world ghetto slum 1488,0,0.0
23863,3,0,3,0,mad cuz fucking ya enemy wins cuz letting shit fuck cant control hoes stress,1,1.0
19761,3,2,1,0,fuuck jalens slow bitch,0,0.0
8899,3,0,3,0,dats dont argue wit dese bitches lol,1,1.0
8939,3,0,3,0,dem hoes 128686 8220 nigga fucking retired widows 8220 new race fuck black woman httptcotcsiji6a0d82218221,1,1.0
19426,3,0,3,0,unfollow bitch wont cry 128536128536,1,1.0
17397,3,0,3,0,hoes aint loyal,1,1.0
5004,3,0,1,2,add name ghetto like looks like used label maker lol,2,2.0
22541,3,0,3,0,im asking bitch prom marry 128076 guareenteed yes httptco4hzzrqjhaq,1,1.0
12816,3,0,3,0,lmao bitch thinks fancy michael kors,1,1.0
8427,3,0,0,3,brown color eyes colored,2,2.0
13609,3,0,3,0,nigga ended going juco messing hoes signed smallest d1s moral story take u get,1,1.0
19225,3,0,2,1,unfollow youre little bitch cus couldnt handle tweets lol,1,1.0
20766,3,1,2,0,ratchet hoes wear flip flops curl turned black like souls slaves walked,1,1.0
4502,3,0,3,0,know pussy ass coward weaker smaller like gz,1,1.0
9023,3,0,3,0,dont fool wrap tool unless wanna ratchet white bitch clinic 4 baby daddies shes apparently exempt,1,1.0
9050,3,0,3,0,dont let hoes lie httptcohknkpj8ugu,1,1.0
19425,3,0,3,0,lets get onto slingy dingy ugly salamander lookin bitch waist time tweeti8230,1,1.0
2285,3,0,3,0,24rozayidgt mad cuz twan fuck bitch128514 httptcogoyzfou46i,1,1.0
21888,3,0,2,1,pussy sooo good 128524128149,1,1.0
3317,3,1,2,0,lol gonna fun got two niglets way,1,1.0
19991,3,0,3,0,ive always wanted youtube cover im pussy umm okay 35 rts post cover8230,1,1.0
21152,3,0,3,0,shawty pussy wet dope drippn wet 128166,1,1.0
16702,3,0,0,3,rise planet apes httptcoww3xbbujg7,2,2.0
22081,3,0,3,0,spot open take better grab another bitch determined beautiful enough,1,1.0
17499,3,0,2,1,pressed pussy never 128064 128514128514128514,1,1.0
21609,3,0,3,0,stern fixed image league nba players knocking bitch elevators,1,1.0
15115,3,0,1,2,rihanna really trash,2,2.0
8074,3,0,3,0,austin funny niggah,1,1.0
19628,3,0,1,2,8220 wish every time day playing flappy birds httpstcomwie7fkbu08221128514128514 foreall,2,2.0
13147,3,0,0,3,mentions probably look like septic tank go ahead meme httptco2qttvwwicy cosbymeme httptco72imb6rfzn,2,2.0
21559,3,0,0,3,sore loser charlie crist won8217t give concession speech calls recount httptcomvhectyuys tcot pjnet,2,2.0
5747,3,0,3,0,nah clowney bitch nigga,1,1.0
24470,3,1,2,0,dont shit talk chip talk dese niggaz jus bitch talk dese niggaz jus chik stalk naw aint got chik httptcox6yljemn,1,1.0
25191,3,0,3,0,first walked door party saw big booty hoe 8212 name httptcojersrswhue,1,1.0
5224,3,1,2,0,whats puto isnt bitch spanish,1,1.0
10605,6,0,6,0,get gwop bitch remember,1,1.0
20244,3,1,0,2,cant stand around ghetto girls128134,2,2.0
4349,3,1,2,0,dat dawg live betta den colored folk hood,1,1.0
17517,6,2,1,3,go fight idf progressive trash hate much dont guts istandwithisr8230,2,2.0
18606,3,0,3,0,na hoe cry yu swear aint fuckn n still side nigga,1,1.0
11002,3,0,3,0,love fresh pussy eat buffet,1,1.0
19136,6,0,6,0,austin mahone making bitches horny right,1,1.0
18487,4,0,4,0,monday bitch today,1,1.0
2188,3,0,0,3,searches yellow pages app nearest jack box,2,2.0
24929,3,0,3,0,shut bitch,1,1.0
24715,3,0,3,0,complains suburban white girlssuburban white girl youre bitchme ok u literally proved point,1,1.0
21288,6,1,0,5,shylock amp wongs 3 incidents democrat bigotry 3 weeks - media mum httptcoix03vrk0ki via,2,2.0
6790,6,2,3,1,darkskin dykes,1,1.0
9845,3,0,3,0,gucci mane bitch,1,1.0
13143,6,0,6,0,melo shouldve got bitch east,1,1.0
8920,3,1,2,0,dear whores dont tell cant dance dancing open legs shake ass like video ho shitty rap,1,1.0
20685,3,0,3,0,hoes got chill httptcolc5gsfovxs,1,1.0
7242,3,0,0,3,oreo cookie,2,2.0
21334,3,0,3,0,slide bitch dms like 128166 127940 httpstcow7qbm72oyo,1,1.0
11462,6,0,6,0,ill bitches havin babys every week,1,1.0
19198,3,0,3,0,step gauntlet bitch nuts could use something wipe ass,1,1.0
23336,3,0,0,3,cant colored eyes like siblings 128557128557,2,2.0
22233,3,0,3,0,hoes aint loyal man thats realest shirt seen tonight chick flip phone robbed,1,1.0
7638,3,0,1,2,ghetto girls best bet find work call center try climb corporate latter,2,2.0
11459,3,0,3,0,ill get much pussy httptco2pltxgqiqe,1,1.0
23658,3,0,3,0,yo bitch freak fucked ha sleep dat last time slept shit woke ha nd fucked ha aint sleep long,1,1.0
6836,3,2,0,1,racial minorities werent criminally inclined wouldnt much worry act color race traitor,0,0.0
3841,3,0,3,0,negro please,1,1.0
16461,3,0,1,2,years two fan bases unc indiana said things right way uk others rogues ho8230,2,2.0
4196,3,0,3,0,fucked fucking retard condemning ray rice yet supporting chris brown whos women abuser thats logical,1,1.0
5597,3,0,3,0,trash ik wanted fuck dorsey,1,1.0
11822,3,1,2,0,nigga watching love hiphop instead playoffs gay denna bitch,1,1.0
8076,3,0,3,0,autocorrect makes hows life change hoes life duck,1,1.0
23351,3,0,3,0,theteabaggers like bald asshole complain long bill draw morons pictures morningjoe,1,1.0
10985,3,0,3,0,love bad bitches thats fuckin problem forreal real shit cant even help,1,1.0
2754,3,0,3,0,lol still lil bitch,1,1.0
20632,3,0,3,0,guys like man fuck bitch 128563 deep inside miss bitch still love bitch amp want bitch 8230,1,1.0
11274,3,0,0,3,took 2 rebel vs yankee tests 40 questions accents word usage scored total 475 rebel vs 525 yankee southern pa,2,2.0
10659,3,0,3,0,got lightskin pussy one time bitch damn near bout propose,1,1.0
15331,3,0,0,3,looked like princess bella yellow dress128120128120,2,2.0
21696,3,0,1,2,surrender divinity - conquerors apocalypse httptco9qv5rsy1p3 via gtoriental black metal hell,2,2.0
6549,3,0,3,0,hey fuk hoes prolly already,1,1.0
2791,3,1,2,0,need ass whipped whip mr house nigger remember u always b nigger,1,1.0
24151,3,0,3,0,bitches subtweets lml,1,1.0
24446,3,0,2,1,settin trends youre rappin wearing shit everyone else wearin rappin mixtape trash yo,1,1.0
19493,3,0,3,0,13hours hell obama flat lied get reelected killery ltwhat diff make karma bitch http8230,1,1.0
15459,3,0,3,0,waterproof lab coat case drown pussy swag,1,1.0
1954,3,0,3,0,8220 never worried next bitch always worryin next meal im tryna fuckin eat fuck talkin bout8221 128525128175128175,1,1.0
11058,3,0,3,0,need bitch go like need beat,1,1.0
19138,3,0,0,3,sole purpose make money otherwise youd suggest violence prevention policies actually work,2,2.0
22781,3,0,0,3,twitters little blue birds name larry celtics isu larry bird stick ticker twtr,2,2.0
9690,3,0,3,0,girl eating pussy girl nigga,1,1.0
24779,3,1,2,0,niggas wait line jordan releases puttin life line jus impress bitches,1,1.0
18540,3,0,3,0,real niggasfav bitch niggas httptcoc7wp1bluuk,1,1.0
10154,3,1,2,0,honestly enough bad bitches universe everyone including dykes,1,1.0
16875,3,0,0,3,rick scott vs charlie crist worst gubernatorial election america face ugly future httptco8230,2,2.0
21311,3,1,2,0,single colored man looking fo single white woman fat ok im nigga,1,1.0
782,3,0,2,1,shoutout everybody follow nicca,1,1.0
17550,3,0,3,0,8220 damn many fake niggas amp bitches8221,1,1.0
6715,3,2,1,0,ha ha ha good fat dyke,0,0.0
6880,3,0,1,2,really right bed put dam yellow starburst throws window 128553,2,2.0
1791,3,1,2,0,8220 let hoes tear right apart8221,1,1.0
23644,3,0,3,0,yes ugly bitch shitty platinum blonde skunk hair take cuts,1,1.0
11603,3,0,3,0,im known around tampa ugly kid hoes,1,1.0
20554,3,0,3,0,twelveyeah scale one tenbitch,1,1.0
8280,3,2,1,0,bitch youre ugliest cunt ever,0,0.0
16465,3,0,3,0,retweets random shit cause bad bitch tweeted 128514,1,1.0
23008,3,0,3,0,need start fantasy team ut hoes lol,1,1.0
7892,6,0,0,6,almost half north american bird species threatened climate change httptcodwsyb5boda httptcof0pvulnf4c climate environment,2,2.0
9057,3,0,3,0,dont make take yo bitch nigga 128527128080,1,1.0
3533,3,1,0,2,wonders dare aint colored folk dare,2,2.0
18671,3,0,3,0,da bitch got scared couldnt take mo ya boy feenin fo dat 1285331285141285148220 128514128557128514128557128514128557128514 koula noooooooo https8230,1,1.0
5199,3,0,3,0,gonn comment cause closet hoes lol team getchoassoutdatcloset lol,1,1.0
7453,3,2,1,0,hell blk stop sayin nigger america,0,0.0
20887,3,0,3,0,thing much pussy,1,1.0
19200,3,0,3,0,guy tells doesnt eat pussy sudden dont suck dick anymore - centeral washington university,1,1.0
17920,3,0,0,3,friday 6pm vivek balk bengali harlem amp lost histories south asian america httptcoveyaqnaidg 8230 8230,2,2.0
22936,3,1,2,0,wake american sheeple nd stop allowing pussy azz politicians never bust gun they8230 httptcorn6nnnynxv,1,1.0
12275,3,0,2,1,pretty much confirmed best bitch face planet,1,1.0
10411,3,1,2,0,cant tell want fuck want slit throat,1,1.0
18580,3,0,3,0,hoes aint loyal duhh bitch hoe,1,1.0
11802,3,0,0,3,kid todaymichelle obamas lunch would wind trash,2,2.0
18031,3,0,3,0,many faithful girls single many hoes taken128581,1,1.0
13734,3,1,2,0,thanks lady look like got white trash train id rather catch disease kthxbai,1,1.0
12998,6,1,5,0,loyal pussy forever bein better bitch thats passed around,1,1.0
20570,3,0,1,2,8220if 1516 act like ages like 20 cute8221 awk moment thought tweet abo8230,2,2.0
10843,3,0,0,3,ignore birds,2,2.0
23021,3,0,0,3,weed brownies gtgtgtgt 128553128079,2,2.0
6259,3,0,3,0,ayy might well get fat hoes dont even like abs nomo like balla bellys,1,1.0
12157,3,0,1,2,hicks saying bung beds,2,2.0
18128,3,0,0,3,nerf hell birds longer attack long range lower damage don8217t follow forever,2,2.0
7118,3,0,3,0,gotta hoe like,1,1.0
18899,6,0,6,0,js met lil bitch wit long name mufucka letters den tennessee go gorilla ina pussy rip128527,1,1.0
17306,3,0,0,3,yeswedid attack harass threaten mock bully woman minority dared fall line progressive a8230,2,2.0
18718,3,0,3,0,dollar every time fucked ur bitch httptco8ike4m29co,1,1.0
2718,3,0,3,0,trip acid bitches,1,1.0
2741,3,0,3,0,ugh tebow youre officially fag followed,1,1.0
20856,3,0,3,0,yall virgo bitches gotta chill thinking yall beyonc232 128514128514128514,1,1.0
1691,3,0,1,2,8220 looking nip rings cant wait change mine 1285278221 128221128064128209 lmao,2,2.0
15749,3,1,2,0,kill em sayrt 8220 world better place bitches like dies lonely http8230,1,1.0
24655,3,0,0,3,lil spook yung lean robb night,2,2.0
13309,3,0,3,0,bitch work chic fil says real b save life httptco5d42kqvo50,1,1.0
11241,3,0,0,3,think ill salad bar lunch today gotta make birthday brownies somehow lasthurrahthendietstarts,2,2.0
14231,3,0,0,3,posted new song guala httptcotbpouto6zr httptcoy1rpitkiaf,2,2.0
20173,3,0,0,3,hey jig even democrats reasontoexitanobamaspeech dems raci8230,2,2.0
24645,3,0,3,0,life ya professor better know bitch gone test ya,1,1.0
12099,3,1,2,0,opinion lhha spot description atlanta dumb hoes niggas ratchet broads stupid arguments,1,1.0
3961,3,1,2,0,dont pay dem bitches dirty ass chucks mind bro,1,1.0
4102,3,0,0,3,lol already made im waiting brownies finish 128526,2,2.0
24827,3,0,2,1,one big lecture hall full bitches sequins limited tank tops,1,1.0
23140,3,0,3,0,step da club niggas give daps hugs hoes swinging dey eye ik one thing right wanna fuck,1,1.0
6915,3,0,1,2,chik fil hipotle trash taco bell give runs,2,2.0
17601,3,0,3,0,youre right job whywell r233sum233 dont bitch dude written napkindont b8230,1,1.0
16694,3,0,3,0,trash talked many hated guess many fucks give less one,1,1.0
20690,3,1,2,0,somebody find bitch amp fuck aint good dick fucking fat nigga http8230,1,1.0
16583,3,0,3,0,im average nigguh chasin money amp dreams tryin stay trouble,1,1.0
12057,3,0,0,3,im telling man roethlisberger got record expunged became trash,2,2.0
8722,3,0,3,0,cleanup bitch got phone em,1,1.0
18521,3,0,2,1,disgusted betrayed hurt amp pussy drier niggas skin winter time,1,1.0
14388,3,0,3,0,today seems like good day ever bang bitches go ice cream,1,1.0
18167,3,0,1,2,obersturmfuhrer matthias wife superb financial brian carry labelling presence see ho8230,2,2.0
10348,3,0,3,0,beg differ lip bittin shit dis bitch bit lip nd tried suck blood aint shit sexy,1,1.0
24920,3,0,1,2,sheryl crow bae,2,2.0
1393,3,0,3,0,8220 ginobli dropping bitches like delta line8221 128514128514128553999665039,1,1.0
15748,4,0,4,0,hate bitches brag bout bf put single 128514,1,1.0
13028,3,1,2,0,makeup saving alot bitches single,1,1.0
14104,3,0,3,0,passing mad hoes give want,1,1.0
13715,3,0,3,0,less 3 bad bitches bed time,1,1.0
11554,3,0,3,0,im flexin bitches gold bottles bombay,1,1.0
13418,3,0,1,2,nicca drake gear game bad lol,2,2.0
15260,3,0,3,0,ion ask nobody shit ever never problem shit fa people neither damn bitch get thank,1,1.0
20280,3,0,3,0,bitches aint real 128514,1,1.0
16874,3,1,2,0,swing thats fucked yo bitch meanwhat say back,1,1.0
6189,3,0,3,0,bitch come bitch scared coward man enough fuck cant last two minutes world bitch,1,1.0
20861,3,0,3,0,fuck half bitches mount rainier 5838658386 fucks wit,1,1.0
3433,3,0,3,0,laughing joke 911 big different bitch,1,1.0
24234,3,0,3,0,damnnnn u unfollow ah bitch fucking wit dey nigga dat make yall feel kind way128563,1,1.0
18370,3,0,3,0,dont try fuck amp got million two bitches tell promise,1,1.0
11283,3,0,0,3,uploaded video httptco8rle3jnr goproud makes money twinkie crisis free market spirit,2,2.0
13449,3,1,2,0,phone acting retarded,1,1.0
10272,3,0,3,0,aint saying bitch acting like female dog,1,1.0
1534,3,0,3,0,8220 8220 bitches like messy bun httptcojffxnwv1di82211285141285141285141285141285141285141285141285141285141285141285148221 128072128072128072128553128514128514128553128079128557,1,1.0
491,3,0,3,0,know shit eatin grin either fucked girl dreams sold car know youre faggot whatd sell128514,1,1.0
20604,3,0,3,0,dat shit trash8220 shirt inspired emoji tattoo pre-order httptcovaulgcpkis httptcoh8230,1,1.0
15754,3,0,3,0,hoes use theit happened excuse means cope wit ho make seem control o8230,1,1.0
5817,3,0,0,3,oh phone trash knew,2,2.0
12325,3,0,3,0,iv decided grow hair aint braiding thostraight curls dis bitch,1,1.0
17935,3,0,3,0,could catch round half pussies,1,1.0
2562,3,0,3,0,lmao omm see bitch tryna act like aint feel ahaha,1,1.0
24935,6,1,5,0,slay lolz jk bitch ill cut emabiggestfans1d,1,1.0
183,3,0,0,3,8220 play soccer cheat girls wear khaki coloured cargos haircut httptcotycihd6pkw8221 yes lmfao,2,2.0
11604,3,1,2,0,im lactose hoe nigga tolerant,1,1.0
9041,3,0,3,0,dont fw sloppy hoes might catch somethin,1,1.0
5043,3,0,3,0,already know juss ordered weekend tha white hoes httptco9931vyw9ff,1,1.0
3042,3,0,3,0,ya cant real account dumb bitch go wams fucking bitch,1,1.0
1888,3,0,3,0,8220 nigga gets alot bitches gonna value like someone else would youre another one lol8221 cut,1,1.0
5953,3,0,0,3,idk trash though,2,2.0
23616,3,0,3,0,yeah hoe,1,1.0
584,3,0,0,3,two roads diverged yellow wood chose one j246tunheimr- robert frost giant,2,2.0
2519,3,0,3,0,fuck u ugly ass bitch,1,1.0
963,3,0,3,0,128064 bitches giving back rubs,1,1.0
5992,3,1,2,0,like emily little twat,1,1.0
4163,4,0,4,0,favorite fucking jam havent seen judging little girl probably trash,1,1.0
17822,3,0,3,0,cant trust bitch lets microwave hit 0 doesnt care lifeshe probably jumps lava part o8230,1,1.0
13323,3,0,3,0,car wet bitch wet drive car pool,1,1.0
20371,6,1,5,0,girl wanna rip dick throw pussy,1,1.0
21101,3,0,3,0,seconds end whats gonna pull trigger bitch,1,1.0
14792,9,0,9,0,bitches aren8217t built wear certain shit httptcoijtjvyy2vy,1,1.0
8650,3,0,0,3,charlie clips vs yung ill review httptcotwhj0w1qjq,2,2.0
24202,3,2,1,0,cant trust niggas come bitches,0,0.0
9966,3,1,0,2,noticed ghetto people naming kids cars mercedes8230 lexus8230 repossessed,2,2.0
11198,3,0,3,0,swear newnan utilities gettin nicca bout start reading damn meter,1,1.0
21751,6,2,4,0,taught lil niggah treat girl,1,1.0
16615,3,0,1,2,say tainted dont necessarily mean hoe scandalous could number things,2,2.0
21125,3,2,0,1,senator anchor baby go back came natural born canadian,0,0.0
24900,3,0,3,0,u remember steve blue clues left us bitch ass nigga joe httptcojxtvd6dvdu,1,1.0
11883,3,0,3,0,bitch dont turn crash 128545128074128299,1,1.0
22977,3,0,3,0,wayne crazy new orleans ass nicca lol,1,1.0
19161,3,0,3,0,dont send nudes -- bitch wit trash nudes,1,1.0
24716,3,0,3,0,mickeyblowsyourmind wants skype group bunch offensive new york city queer folk httptcobpgdvs8qd2,1,1.0
759,3,0,0,3,nowplaying doors - wasp texas radio big beat 1069thearrow - httptcor5wuxa9jb6,2,2.0
5057,3,0,3,0,hi yeah trolls annoying dont concern theyre twats amp life lol ignore x,1,1.0
18143,3,0,3,0,son lmao i8217m gonna cry every time bitches httptcojeihgdwlai,1,1.0
6168,3,0,3,0,lol bad forgot hoe made ya sad,1,1.0
23787,3,0,3,0,ever see bitches comment vine like oh god thats knowin damn well would neva shit like lmfaaoo,1,1.0
9920,3,0,3,0,happy friday bitches kimorablac httptcoskpkf0fgne,1,1.0
4095,3,0,3,0,shit gettin money fuckin hoes uk dat go lmaooooo,1,1.0
1364,3,1,2,0,8220 might fuck around fuck yo bitch 1285201281751285278221 eat ass steal youll real ass nigga,1,1.0
19589,3,0,3,0,u hoe children youre still awake,1,1.0
22954,6,0,6,0,kimball gym today boy carteramp kimball hoe wouldve stupid,1,1.0
23972,3,0,2,1,young gem amp chief killing yogoing real musicno bubble gum trash booth httptcolkjnb7uzmt,1,1.0
14715,3,0,2,1,8220 bald headed bitches mad look like dont blame blame parents bmb httpt8230,1,1.0
18989,3,0,3,0,kinda pathetic bitches bgc 21 amp acting childish af,1,1.0
12005,3,0,3,0,ill fire nina like first day job bitch slept,1,1.0
4579,3,0,0,3,current favorite line shea moisture target cvs great dry curly andor colored hair,2,2.0
16297,3,0,3,0,bitches diss gone still eat dick see check,1,1.0
4676,6,0,6,0,bitch jail 114-114,1,1.0
10409,3,0,0,3,cant take serious wear colored contacts,2,2.0
24314,3,3,0,0,fat dykes make want vomit,0,0.0
12759,3,0,1,2,lil kim really made trash smh 128148,2,2.0
10759,3,1,2,0,hate kids class always complaining bitchdouche teacher,1,1.0
7199,3,0,1,2,yall defense trash 128514128514128514,2,2.0
11902,3,0,3,0,yo nigga catch cheating beat yo ass front yo lil yeah lil yeah dont help still give pussy ladies,1,1.0
1221,3,0,3,0,8220 lmfaoooo bitch dont start8221 okay bitch,1,1.0
13193,3,0,2,1,mom really came found anything possible bitch,1,1.0
7492,3,3,0,0,dont u end us monkeys u hate us better crackers amp love deep u know weve done nothin 2 u,0,0.0
4394,3,1,2,0,fuck nigga gonna wanna see tell nigga stop acting like bitch,1,1.0
9688,3,0,3,0,girl dont hide pussy type provide pussy,1,1.0
14471,3,0,3,0,wanna get filthy rich amp nice big house full bad bitches could fuck anytime want 128540,1,1.0
25183,3,0,3,0,bitches change start acting like nigga ltltltltltlt,1,1.0
15112,3,0,3,0,hiding favorite snacks family bc youre selfish bitch,1,1.0
15671,6,0,6,0,lame bitches always wanna try 2 play real nigga like lame bitch das u get treated n cut loose9995,1,1.0
3535,3,0,3,0,bitch bought son talking bout get em sold,1,1.0
6221,3,0,0,3,btw happy birthday charlie get better soon,2,2.0
19092,3,1,2,0,bitches wanna beef niggas 58382 grow tf get ya priorities straight 5793358167,1,1.0
9655,6,1,5,0,get cunts threaten bothered id happily hit big massive group ae third years something hahaha dropkickkk,1,1.0
24051,3,0,3,0,bad bitches man want,1,1.0
11169,3,0,1,2,show like jeffersons dat george make wanna open dry cleaning stow call da white folk honkey,2,2.0
4006,3,0,3,0,ha got bitches worked,1,1.0
19694,3,0,3,0,lmfaoooooooooooooooo put muthafuckin jelly bread bitch spread httptcopztst16cew,1,1.0
8744,3,0,0,3,come man oreo needs chill 128686rt know good nah httptcomw9qxg3vfw,2,2.0
11260,3,0,3,0,think youve made clear hoes aint loyal,1,1.0
10818,3,1,2,0,bitches runnin wen dat pipe come damn,1,1.0
18186,3,0,3,0,call women bitches get,1,1.0
5875,3,0,2,1,icanhashtaghoweveriwant bitch,1,1.0
9060,3,0,3,0,dont nigga want artificial bitch let repeat one,1,1.0
6284,3,1,2,0,full niggers,1,1.0
11683,3,3,0,0,im sick u niggers,0,0.0
10589,3,0,3,0,fuck alien bitches demon angel bitches couple centaur bitches got really drunk fucked dragon chick couple timesughhh,1,1.0
29,3,0,3,0,spend money want bitch business,1,1.0
4875,3,0,3,0,gotta turn hoe housewife,1,1.0
16771,3,0,0,3,oomfs teeth quite yellow128514128128128128,2,2.0
3563,3,0,3,0,bitch shot music video,1,1.0
20041,3,0,3,0,hoes calling hoes hoes know much hoe hoe calling hoe,1,1.0
19117,3,0,3,0,pussy still taste like mcdonalds fries eat pineapples everyday good 128553128069,1,1.0
5474,3,0,3,0,bird gone run ass,1,1.0
12138,3,0,3,0,ion like doll face hoes,1,1.0
3745,3,1,2,0,dont let idiots cant even spell retarded get,1,1.0
8338,3,0,2,1,blatt trash twitter said good,1,1.0
8200,3,0,1,2,huntin hard finally nailed best wedding koozie ive ever seen redneck httptcod6sbsyann2,2,2.0
9171,3,1,2,0,eat dick bitch,1,1.0
17059,3,0,3,0,bitch says youre broke httptcoyfsl9rnk0j,1,1.0
24592,3,2,1,0,ion speak flaw niggas thirsty hoes ig boyyyyyy look 128586128586,0,0.0
22082,3,1,2,0,streets dirty hoe niggad try wife though,1,1.0
